grantee,Year,Funder Name,Location,Funder NameLocation,Amount,Purpose
American Council of The Blind Inc.,2025,American Foundation For The Blind Inc.,"Huntington, WV","American Foundation For The Blind Inc.   Huntington, WV","$29,500",College scholarships
American Council of The Blind Inc.,2025,Delta Gamma Foundation,"Upper Arlngtn, OH","Delta Gamma Foundation   Upper Arlngtn, OH","$7,500",Aid for blind
American Council of The Blind Inc.,2025,Chc Creating Healthier Communities,"Alexandria, VA","Chc Creating Healthier Communities   Alexandria, VA","$5,365",Research/publiceducation
American Council of The Blind Inc.,2024,American Foundation For The Blind Inc.,"Huntington, WV","American Foundation For The Blind Inc.   Huntington, WV","$27,500",College scholarships
American Council of The Blind Inc.,2024,Aid Association For The Blind Of The District Of Columbia,"Washington, DC","Aid Association For The Blind Of The District Of Columbia   Washington, DC","$27,000",General operations in dc metropolitan area
American Council of The Blind Inc.,2024,Consumer Technology Association Foundation,"Arlington, VA","Consumer Technology Association Foundation   Arlington, VA","$20,000",Grant
American Council of The Blind Inc.,2024,Bny Mellon Charitable Gift Fund,"Boston, MA","Bny Mellon Charitable Gift Fund   Boston, MA","$16,000",To further the organization's exempt purpose
American Council of The Blind Inc.,2024,East Tennessee Foundation,"Knoxville, TN","East Tennessee Foundation   Knoxville, TN","$8,000",Medical disciplines
American Council of The Blind Inc.,2024,Dr Scholl Foundation,"Northbrook, IL","Dr Scholl Foundation   Northbrook, IL","$7,000",Production the acb braille forum in braille and large print
American Council of The Blind Inc.,2024,Grant Gund Foundation,"Concord, MA","Grant Gund Foundation   Concord, MA","$5,000",To help further charitable purpose of organization.
American Council of The Blind Inc.,2024,Verizon Foundation,"Basking Ridge, NJ","Verizon Foundation   Basking Ridge, NJ",$202,Other civic / community
American Council of The Blind Inc.,2023,Aid Association For The Blind Of The District Of Columbia,"Washington, DC","Aid Association For The Blind Of The District Of Columbia   Washington, DC","$31,365",General operations in dc metropolitan area
American Council of The Blind Inc.,2023,Bny Mellon Charitable Gift Fund,"Boston, MA","Bny Mellon Charitable Gift Fund   Boston, MA","$16,000",To further the organization's exempt purpose
American Council of The Blind Inc.,2023,Boston Foundation Inc.,"Boston, MA","Boston Foundation Inc.   Boston, MA","$10,000",Operating support/annual fund
American Council of The Blind Inc.,2023,N CTA The Internet & Television Association,"Washington, DC","N CTA The Internet & Television Association   Washington, DC","$9,875",Sponsorship - 2023 acb convention
American Council of The Blind Inc.,2023,Chc Creating Healthier Communities,"Alexandria, VA","Chc Creating Healthier Communities   Alexandria, VA","$7,415",Research/publiceducation
American Council of The Blind Inc.,2023,Dr Scholl Foundation,"Northbrook, IL","Dr Scholl Foundation   Northbrook, IL","$5,000",Support of the braille forum monthly production
American Council of The Blind Inc.,2023,Grant Gund Foundation,"Concord, MA","Grant Gund Foundation   Concord, MA","$5,000",To help further charitable purpose of organization.
American Council of The Blind Inc.,2022,Readers Digest Partners For Sight Foundation,"Mount Kisco, NY","Readers Digest Partners For Sight Foundation   Mount Kisco, NY","$50,000",Digital inclusion and empowerment f/t bvi community
American Council of The Blind Inc.,2022,Aid Association For The Blind Of The District Of Columbia,"Washington, DC","Aid Association For The Blind Of The District Of Columbia   Washington, DC","$45,000",General operations in dc metropolitan area
American Council of The Blind Inc.,2022,The Gibney Family Foundation Inc.,"Meridian, ID","The Gibney Family Foundation Inc.   Meridian, ID","$30,000",Funding to support the acb media network for distribution and hosting community events
American Council of The Blind Inc.,2022,American Foundation For The Blind Inc.,"Huntington, WV","American Foundation For The Blind Inc.   Huntington, WV","$27,500",College scholarships for blind and visually impaired students distributed through the american council of the blind directly to uk for a student
American Council of The Blind Inc.,2022,Bny Mellon Charitable Gift Fund,"Boston, MA","Bny Mellon Charitable Gift Fund   Boston, MA","$10,000",To further the organization's exempt purpose
American Council of The Blind Inc.,2022,N CTA The Internet & Television Association,"Washington, DC","N CTA The Internet & Television Association   Washington, DC","$9,675",Sponsorship - 2022 acb conf. and conv.
American Council of The Blind Inc.,2022,Hawaii Association Of The Blind,"Honolulu, HI","Hawaii Association Of The Blind   Honolulu, HI","$7,000","Annual commitments aimed to provide funds to various projects such as the durward mcdaniel fund, braille forum, general fund, acb radio, acb student program, etc. acb is the umbrella organization that hab belongs to as an affiliate."
American Council of The Blind Inc.,2022,Chc Creating Healthier Communities,"Alexandria, VA","Chc Creating Healthier Communities   Alexandria, VA","$6,033",Research/publiceducation
American Council of The Blind Inc.,2022,Grant Gund Foundation,"Concord, MA","Grant Gund Foundation   Concord, MA","$5,000",To help further charitable purpose of organization.
American Council of The Blind Inc.,2022,Gupta Foundation,"Springfield, VA","Gupta Foundation   Springfield, VA","$1,000",Operating expenses of entity
American Council of The Blind Inc.,2021,American Foundation For The Blind Inc.,"Huntington, WV","American Foundation For The Blind Inc.   Huntington, WV","$55,000",College scholarships for blind and visually impaired students distributed through the american council of the blind directly to uk for a student
American Council of The Blind Inc.,2021,The Gibney Family Foundation Inc.,"Meridian, ID","The Gibney Family Foundation Inc.   Meridian, ID","$40,000","Providing a new staff position to combat isolation during covid-19, acb has engaged it's community with extensive national network of virtual community meetings and special interests group sessions."
American Council of The Blind Inc.,2021,Aid Association For The Blind Of The District Of Columbia,"Washington, DC","Aid Association For The Blind Of The District Of Columbia   Washington, DC","$36,000",General operations in dc metropolitan area
American Council of The Blind Inc.,2021,Bny Mellon Charitable Gift Fund,"Boston, MA","Bny Mellon Charitable Gift Fund   Boston, MA","$15,500",To further the organization's exempt purpose
American Council of The Blind Inc.,2021,N CTA The Internet & Television Association,"Washington, DC","N CTA The Internet & Television Association   Washington, DC","$9,675",Sponsorship virtual acb conf. and conv.
American Council of The Blind Inc.,2021,Dr Scholl Foundation,"Northbrook, IL","Dr Scholl Foundation   Northbrook, IL","$5,000",Monthly acb braille forum publication
American Council of The Blind Inc.,2021,Hawaii Association Of The Blind,"Honolulu, HI","Hawaii Association Of The Blind   Honolulu, HI","$5,000","Annual commitments aimed to provide funds to various projects such as the braille forum, acb radio, acb students group/division, etc. acb is the umbrella organization that hab belongs to as an affiliate."
American Council of The Blind Inc.,2021,Joseph L Vozza Family Foundation Inc.,"Ponte Vedra, FL","Joseph L Vozza Family Foundation Inc.   Ponte Vedra, FL",$50,Advocates for equality of people who are blind and low vision
American Council of The Blind Inc.,2020,Aid Association For The Blind Of The District Of Columbia,"Washington, DC","Aid Association For The Blind Of The District Of Columbia   Washington, DC","$40,000",General operations in dc metropolitan area
American Council of The Blind Inc.,2020,East West Foundation,"Midlothian, VA","East West Foundation   Midlothian, VA","$10,000",Continue program funding
American Council of The Blind Inc.,2020,Delta Gamma Foundation,"Upper Arlngtn, OH","Delta Gamma Foundation   Upper Arlngtn, OH","$6,000",Aid for blind
American Council of The Blind Inc.,2020,Cincinnati Marathon Inc.,"Cincinnati, OH","Cincinnati Marathon Inc.   Cincinnati, OH","$5,000",Contribution
American Council of The Blind Inc.,2020,Max & Victoria Dreyfus Foundation,"Washington, DC","Max & Victoria Dreyfus Foundation   Washington, DC","$5,000",General operating support
American Council of The Blind Inc.,2019,Aid Association For The Blind Of The District Of Columbia,"Washington, DC","Aid Association For The Blind Of The District Of Columbia   Washington, DC","$40,000",General operations in dc metropolitan area
American Council of The Blind Inc.,2019,Delta Gamma Foundation,"Upper Arlngtn, OH","Delta Gamma Foundation   Upper Arlngtn, OH","$10,000",Aid for blind
American Council of The Blind Inc.,2019,Cincinnati Marathon Inc.,"Cincinnati, OH","Cincinnati Marathon Inc.   Cincinnati, OH","$6,515",Contribution
American Council of The Blind Inc.,2019,Dr Scholl Foundation,"Northbrook, IL","Dr Scholl Foundation   Northbrook, IL","$5,000",Acb braille forum publication
American Council of The Blind Inc.,2019,Max & Victoria Dreyfus Foundation,"Washington, DC","Max & Victoria Dreyfus Foundation   Washington, DC","$5,000",General operating support
American Council of The Blind Inc.,2019,Gupta Foundation,"Springfield, VA","Gupta Foundation   Springfield, VA","$2,500",Promote dignity and independence for blind people
American Council of The Blind Inc.,2019,Jacob And Anita Penzer Foundation Inc.,"Lawrence, NY","Jacob And Anita Penzer Foundation Inc.   Lawrence, NY",$800,General
